model,family,cross_entropy,perplexity,top1_accuracy,top3_accuracy,top5_accuracy,recall_at_3,recall_at_5,mrr,avg_latency_ms,throughput_examples_per_sec,memory_rss_mb_before,memory_rss_mb_after,memory_delta_mb,timed_batches,train_time_sec,rank_score
BiLSTM,neural,4.666768729686737,106.35350799560547,0.1810387186706066,0.3105653002858162,0.38486389567454654,0.3105653002858162,0.38486389567454654,0.27984673525775916,0.9857848751077352,126675.71105344113,1842.953125,1842.953125,0.0,24.0,7.16478370699042,33.16871416767438
LSTM,neural,4.681628008683522,107.94568634033203,0.16280955200393996,0.30009335776170093,0.37374091024200123,0.30009335776170093,0.37374091024200123,0.2693920837047797,1.024631207959222,121873.11788864598,1814.96875,1814.98828125,0.01953125,24.0,9.567105562004144,31.976806707183524
GRU,neural,4.767887572447459,117.67041015625,0.16533387390275797,0.2989816727737586,0.3693740169207255,0.2989816727737586,0.3693740169207255,0.2654083625508243,1.3252890821604524,94224.72551907842,1843.34375,1843.34375,0.0,24.0,3.523280043998966,31.053881184260057
CNN_LSTM,neural,4.821505765120189,124.15186309814453,0.16929540100196996,0.29296260823806125,0.35879766196012497,0.29296260823806125,0.35879766196012497,0.26427468438804413,1.2156387905027561,102723.77039593726,1961.9609375,1961.9609375,0.0,24.0,4.675758917990606,29.67217304110527
StackedLSTM,neural,4.818018555641174,123.71968841552734,0.1558384926368793,0.2916298160950343,0.3572744702299436,0.2916298160950343,0.3572744702299436,0.25687509344681086,1.6942811247038965,73703.82528567918,1834.40625,1834.40625,0.0,24.0,6.3079623550002,29.541462602217987
Transformer,neural,4.8170507947603864,123.60005187988281,0.13712411560118198,0.27511423950393993,0.3520170009384553,0.27511423950393993,0.3520170009384553,0.2415434812981482,1.6226722921904486,76956.38891536811,2104.6640625,2104.6640625,0.0,24.0,8.244778872001916,29.021697499851392
Bigram,ngram,6.013678026199341,408.9848327636719,0.187109375,0.325,0.391796875,0.325,0.391796875,0.27848196858786206,353.7853085959796,361.8013436114023,1293.41015625,1293.41796875,0.0078125,5.0,,18.730445861816406
Unigram,ngram,5.32598659992218,205.61106872558594,0.147265625,0.208984375,0.279296875,0.208984375,0.279296875,0.21716022539327134,1719.3084174010437,74.44853913615366,1293.26953125,1293.26953125,0.0,5.0,,17.6491340637207
Trigram,ngram,6.538057088851929,690.9429931640625,0.160546875,0.266015625,0.319921875,0.266015625,0.319921875,0.21474110896653045,855.2001777978148,149.6725600895064,1297.84375,1297.8515625,0.0078125,5.0,,6.9921875000000036
MostFrequent,ngram,23.540335369110107,16727747584.0,0.148046875,0.148046875,0.191015625,0.148046875,0.191015625,0.1490127762169962,18.039334000786766,7095.605635685742,1293.1953125,1293.1953125,0.0,5.0,,-5.8984375
