ID,Delivery_person_ID,Delivery_person_Age,Delivery_person_Ratings,Restaurant_latitude,Restaurant_longitude,Delivery_location_latitude,Delivery_location_longitude,Order_Date,Time_Orderd,Time_Order_picked,Weatherconditions,Road_traffic_density,Vehicle_condition,Type_of_order,Type_of_vehicle,multiple_deliveries,Festival,City,Time_taken(min),haversine_distance_km,euclidean_distance_deg,euclidean_projected_km,geodesic_distance_km,delivery_distance_km,pickup_distance_km,delivery_hour,delivery_day,delivery_month,delivery_dayofweek,pickup_lag_min,festival_binary,traffic_code,city_code,zone_lat_bin,zone_lon_bin,zone_id,zone_order_density,city_order_share,region_code,restaurant_x_km,restaurant_y_km,delivery_x_km,delivery_y_km,is_outlier,outlier_vote_count,cluster,zone_label,zone_reason
0x4607,INDORES13DEL02,37.0,4.9,22.745049,75.892471,22.765049,75.912471,2022-03-19,11:30:00,11:45:00,Sunny,High,2,Snack,motorcycle,0.0,No,Urban,24,3.0251534641916638,0.028284271247458786,3.2841541048622203,3.0207366434610647,3.0207366434610647,0.0,11,19,3,5,15.0,0,3,2,22.700000000000003,75.9,22.7_75.9,74.0,0.2213302752293578,5,8448.311226763282,2601.2156065131066,8450.537616579148,2603.629909015341,False,0,0,Central Delivery Zone,Cluster centroid is near network center; good hub candidate.
0xb379,BANGRES18DEL02,34.0,4.5,12.913041,77.683237,13.043041,77.813237,2022-03-25,19:45:00,19:50:00,Stormy,Jam,2,Snack,scooter,1.0,No,Metropolitian,33,20.183557607412258,0.1838477631084997,20.7358163799863,20.143736910348597,20.143736910348597,0.0,19,25,3,4,5.0,0,4,3,12.9,77.7,12.9_77.7,23.0,0.7436926605504587,2,8647.658386013189,1449.7991467614972,8662.129919816316,1464.6500319313952,False,0,1,Southern Delivery Zone,Cluster concentrated in southern latitude band.
0x5d6d,BANGRES19DEL01,23.0,4.4,12.914264,77.6784,12.924264,77.6884,2022-03-19,08:30:00,08:45:00,Sandstorms,Low,0,Drinks,motorcycle,1.0,No,Urban,26,1.552759947015296,0.014142135623735673,1.5948696603348755,1.549692932239404,1.549692932239404,0.0,8,19,3,5,15.0,0,1,2,12.9,77.7,12.9_77.7,23.0,0.2213302752293578,2,8647.119933636222,1449.9388231993637,8648.233128544154,1451.080929293565,False,0,1,Southern Delivery Zone,Cluster concentrated in southern latitude band.
0x7a6a,COIMBRES13DEL02,38.0,4.7,11.003669,76.976494,11.053669,77.026494,2022-04-05,18:00:00,18:10:00,Sunny,Medium,0,Buffet,motorcycle,1.0,No,Metropolitian,21,7.790412120666412,0.07071067811865199,7.945876432079111,7.774496620087613,7.774496620087613,0.0,18,5,4,1,10.0,0,2,3,11.0,77.0,11.0_77.0,142.0,0.7436926605504587,2,8568.98411513148,1232.5228801807089,8574.55008967114,1238.1935838140957,False,0,2,High Demand Zone,High order volume with strong density index.
0x70a2,CHENRES12DEL01,32.0,4.6,12.972793,80.249982,13.012793,80.289982,2022-03-26,13:30:00,13:45:00,Cloudy,High,1,Snack,scooter,1.0,No,Metropolitian,30,6.210146543431993,0.05656854249491883,6.380444806126878,6.197897916874956,6.197897916874956,0.0,13,26,3,5,15.0,0,3,3,13.0,80.2,13.0_80.2,55.0,0.7436926605504587,3,8933.387132409369,1456.6241062998047,8937.8399120411,1461.1938797597566,False,0,3,Southern Delivery Zone,Cluster concentrated in southern latitude band.
0x9bb4,HYDRES09DEL03,22.0,4.8,17.431668,78.408321,17.461668,78.438321,2022-03-11,21:20:00,21:30:00,Cloudy,Jam,0,Buffet,motorcycle,1.0,No,Urban,26,4.610371512464619,0.04242640687119446,4.838099701029789,4.602205335871525,4.602205335871525,0.0,21,11,3,4,10.0,0,4,2,17.400000000000002,78.4,17.4_78.4,71.0,0.2213302752293578,3,8728.374367675538,1971.1321679010748,8731.713952399337,1974.632793929327,False,0,4,Central Delivery Zone,Cluster centroid is near network center; good hub candidate.
0x95b4,RANCHIRES15DEL01,33.0,4.7,23.369746,85.33982,23.479746,85.44982,2022-03-04,19:15:00,19:30:00,Fog,Jam,1,Meal,scooter,1.0,No,Metropolitian,40,16.600384057308027,0.15556349186103965,18.111670639884785,16.576886807242534,16.576886807242534,0.0,19,4,3,4,15.0,0,4,3,23.400000000000002,85.30000000000001,23.4_85.3,104.0,0.7436926605504587,3,9499.985306789626,2676.7948274547316,9512.230450776884,2690.1398288447267,False,0,5,Low Activity Zone,Low demand volume relative to other zones.
0x9eb2,MYSRES15DEL02,35.0,4.6,12.352058,76.60665,12.482058,76.73665,2022-03-14,17:25:00,17:30:00,Cloudy,Medium,2,Meal,motorcycle,1.0,No,Metropolitian,32,20.205281143977334,0.1838477631084997,20.712390711061524,20.164987511903337,20.164987511903337,0.0,17,14,3,0,5.0,0,2,3,12.4,76.60000000000001,12.4_76.6,9.0,0.7436926605504587,2,8527.813269378532,1385.801314229778,8542.284803181656,1400.6194733041268,False,0,6,Southern Delivery Zone,Cluster concentrated in southern latitude band.
0x1102,HYDRES05DEL02,22.0,4.8,17.433809,78.386744,17.563809,78.516744,2022-03-20,20:55:00,21:05:00,Stormy,Jam,0,Buffet,motorcycle,1.0,No,Metropolitian,34,19.975547677584927,0.1838477631085085,20.968246145757092,19.94021940160752,19.94021940160752,0.0,21,20,3,6,10.0,0,4,3,17.400000000000002,78.4,17.4_78.4,71.0,0.7436926605504587,3,8725.972427022693,1971.381976829203,8740.443960825818,1986.5557059626115,False,0,4,Central Delivery Zone,Cluster centroid is near network center; good hub candidate.
0xcdcd,DEHRES17DEL01,36.0,4.2,30.327968,78.046106,30.397968,78.116106,2022-02-12,21:55:00,22:10:00,Fog,Jam,2,Snack,motorcycle,3.0,No,Metropolitian,46,10.280596264766618,0.09899494936612209,11.928159727813133,10.27146402322994,10.27146402322994,0.0,22,12,2,5,15.0,0,4,3,30.3,78.0,30.3_78.0,6.0,0.7436926605504587,1,8688.052778317853,3545.7771180387467,8695.845142673383,3554.808178455049,False,0,-1,High Demand Zone,High order volume with strong density index.
