iter	Passed	Remaining
0	2	2850
1	4	2349
2	6	2218
3	9	2252
4	10	2181
5	12	2135
6	14	2104
7	16	2084
8	19	2155
9	21	2130
10	23	2111
11	25	2087
12	27	2067
13	29	2052
14	31	2042
15	32	2027
16	35	2024
17	37	2023
18	39	2029
19	41	2024
20	43	2018
21	45	2016
22	47	2009
23	49	2028
24	51	2018
25	53	2016
26	55	2005
27	57	1998
28	59	1988
29	61	1982
30	63	1974
31	65	1970
32	67	1965
33	68	1960
34	70	1953
35	72	1947
36	74	1942
37	76	1937
38	78	1933
39	80	1929
40	82	1928
41	84	1930
42	86	1927
43	88	1922
44	90	1920
45	92	1919
46	94	1915
47	96	1911
48	98	1906
49	100	1903
50	102	1902
51	104	1899
52	106	1894
53	107	1890
54	109	1886
55	111	1882
56	113	1878
57	115	1874
58	117	1873
59	119	1872
60	121	1871
61	123	1873
62	125	1871
63	127	1869
64	129	1868
65	131	1866
66	133	1864
67	136	1866
68	138	1866
69	140	1865
70	142	1869
71	145	1874
72	147	1873
73	149	1870
74	151	1866
75	153	1863
76	155	1859
77	157	1857
78	158	1853
79	160	1849
80	162	1848
81	164	1845
82	166	1843
83	168	1840
84	170	1838
85	172	1836
86	174	1834
87	177	1834
88	178	1831
89	180	1828
90	182	1825
91	184	1823
92	186	1820
93	188	1817
94	190	1816
95	192	1813
96	194	1811
97	197	1818
98	199	1817
99	201	1815
100	203	1813
101	205	1810
102	208	1820
103	211	1818
104	214	1826
105	216	1822
106	218	1821
107	220	1819
108	222	1815
109	223	1812
110	225	1808
111	227	1806
112	229	1805
113	232	1809
114	234	1807
115	236	1805
116	238	1803
117	241	1801
118	243	1804
119	245	1803
120	247	1801
121	249	1798
122	251	1795
123	253	1792
124	255	1790
125	257	1787
126	259	1785
127	261	1782
128	263	1779
129	265	1776
130	267	1773
131	269	1771
132	271	1768
133	273	1765
134	275	1763
135	277	1763
136	279	1760
137	281	1757
138	283	1755
139	285	1752
140	287	1752
141	289	1749
142	292	1754
143	294	1752
144	296	1750
145	298	1747
146	300	1743
147	302	1740
148	304	1738
149	306	1735
150	308	1732
151	309	1729
152	311	1726
153	313	1724
154	315	1722
155	317	1720
156	319	1717
157	321	1714
158	323	1712
159	325	1709
160	327	1706
161	329	1704
162	331	1701
163	333	1698
164	335	1695
165	336	1692
166	338	1690
167	340	1687
168	342	1684
169	344	1681
170	346	1679
171	348	1677
172	350	1674
173	352	1671
174	353	1667
175	355	1665
176	357	1663
177	359	1661
178	361	1659
179	363	1656
180	365	1653
181	367	1651
182	369	1650
183	372	1653
184	374	1651
185	376	1649
186	378	1646
187	380	1643
188	382	1640
189	384	1638
190	386	1635
191	387	1632
192	389	1629
193	391	1626
194	393	1625
195	395	1623
196	397	1620
197	399	1618
198	401	1615
199	403	1612
200	404	1609
201	407	1608
202	408	1605
203	410	1603
204	412	1601
205	415	1601
206	417	1599
207	419	1596
208	421	1594
209	423	1591
210	425	1590
211	427	1587
212	429	1586
213	431	1584
214	433	1581
215	434	1578
216	436	1576
217	438	1573
218	440	1571
219	442	1568
220	444	1566
221	447	1569
222	449	1567
223	451	1564
224	453	1562
225	455	1559
226	457	1556
227	458	1553
228	460	1551
229	462	1549
230	464	1546
231	466	1543
232	468	1541
233	470	1539
234	473	1540
235	475	1538
236	477	1535
237	478	1533
238	480	1530
239	482	1528
240	484	1526
241	486	1523
242	488	1521
243	490	1518
244	492	1516
245	494	1514
246	495	1511
247	497	1509
248	499	1506
249	501	1504
250	503	1502
251	505	1500
252	507	1497
253	508	1494
254	510	1492
255	512	1489
256	514	1486
257	516	1484
258	518	1482
259	520	1480
260	522	1478
261	525	1479
262	527	1477
263	528	1474
264	530	1472
265	532	1469
266	534	1467
267	536	1464
268	538	1462
269	540	1460
270	541	1457
271	543	1455
272	546	1454
273	549	1456
274	551	1454
275	554	1453
276	556	1451
277	557	1448
278	560	1449
279	562	1447
280	564	1445
281	566	1442
282	569	1441
283	571	1439
284	572	1437
285	574	1434
286	576	1432
287	578	1430
288	580	1427
289	582	1426
290	584	1423
291	586	1421
292	588	1418
293	589	1416
294	591	1414
295	593	1411
296	595	1409
297	597	1406
298	598	1404
299	600	1401
300	602	1398
301	604	1396
302	605	1393
303	607	1391
304	609	1389
305	611	1387
306	614	1386
307	616	1384
308	619	1385
309	621	1384
310	623	1382
311	625	1379
312	627	1378
313	629	1375
314	631	1374
315	634	1372
316	637	1372
317	640	1372
318	642	1370
319	644	1368
