iter	Passed	Remaining
0	2	2504
1	5	2598
2	8	2690
3	12	3050
4	15	3044
5	18	3101
6	22	3126
7	24	3073
8	26	2959
9	34	3442
10	39	3560
11	43	3570
12	45	3489
13	49	3466
14	51	3388
15	54	3356
16	56	3269
17	58	3189
18	60	3127
19	63	3090
20	65	3055
21	67	2989
22	69	2944
23	71	2891
24	72	2844
25	74	2797
26	76	2754
27	78	2718
28	80	2685
29	82	2654
30	84	2625
31	85	2599
32	87	2576
33	91	2591
34	93	2569
35	95	2551
36	97	2527
37	98	2506
38	101	2501
39	103	2485
40	105	2473
41	107	2455
42	109	2438
43	111	2421
44	113	2403
45	115	2386
46	116	2371
47	118	2359
48	121	2348
49	122	2336
50	124	2323
51	128	2344
52	131	2342
53	133	2331
54	134	2318
55	138	2334
56	140	2326
57	142	2315
58	144	2301
59	149	2337
60	151	2328
61	153	2327
62	155	2317
63	157	2307
64	159	2295
65	161	2284
66	163	2273
67	165	2269
68	167	2259
69	169	2251
70	171	2243
71	173	2235
72	175	2229
73	177	2224
74	179	2219
75	182	2213
76	186	2230
77	188	2226
78	190	2219
79	192	2216
80	195	2219
81	197	2213
82	199	2207
83	201	2198
84	204	2198
85	206	2190
86	208	2183
87	209	2175
88	211	2168
89	213	2160
90	216	2160
91	218	2152
92	219	2145
93	221	2137
94	224	2139
95	226	2131
96	228	2131
97	230	2124
98	234	2130
99	236	2126
100	238	2121
101	240	2115
102	242	2113
103	244	2110
104	247	2107
105	249	2101
106	251	2097
107	253	2092
108	255	2088
109	257	2081
110	258	2074
111	261	2074
112	263	2070
113	265	2065
114	267	2061
115	271	2071
116	273	2066
117	275	2060
118	277	2054
119	279	2050
120	281	2044
121	284	2047
122	287	2051
123	289	2047
124	291	2042
125	293	2037
126	296	2036
127	298	2033
128	301	2036
129	304	2037
130	308	2043
131	310	2041
132	312	2037
133	314	2032
134	318	2038
135	320	2039
136	323	2034
137	326	2037
138	327	2031
139	329	2026
140	331	2021
141	333	2016
142	335	2011
143	337	2005
144	340	2007
145	342	2005
146	344	2001
147	346	1995
148	348	1989
149	350	1984
150	352	1979
151	354	1975
152	356	1971
153	357	1965
154	359	1960
155	361	1955
156	363	1951
157	365	1947
158	367	1942
159	369	1938
160	371	1934
161	373	1930
162	376	1932
163	379	1933
164	381	1928
165	383	1929
166	385	1924
167	387	1921
168	390	1917
169	392	1914
170	393	1909
171	395	1905
172	398	1904
173	400	1901
174	402	1897
175	404	1893
176	406	1888
177	408	1884
178	409	1880
179	411	1875
180	413	1870
181	415	1866
182	417	1865
183	420	1863
184	422	1859
185	424	1855
186	425	1851
187	427	1848
188	429	1844
189	431	1841
190	435	1844
191	437	1841
192	439	1838
193	441	1836
194	443	1831
195	445	1829
196	448	1826
197	449	1822
198	451	1818
199	453	1813
200	456	1814
201	458	1810
202	460	1806
203	461	1799
204	463	1795
205	465	1792
206	467	1789
207	468	1785
208	470	1782
209	472	1778
210	474	1774
211	476	1770
212	478	1767
213	480	1764
214	482	1760
215	485	1761
216	487	1757
217	489	1754
218	490	1750
219	492	1747
220	494	1743
221	496	1739
222	498	1735
223	500	1732
224	501	1728
225	503	1725
226	505	1721
227	507	1718
228	510	1719
229	513	1718
230	515	1715
231	517	1712
232	519	1708
233	521	1705
234	523	1703
235	525	1700
236	527	1698
237	529	1695
238	531	1692
239	534	1692
240	536	1689
241	538	1685
242	539	1681
243	541	1678
244	543	1675
245	545	1672
246	547	1669
247	549	1666
248	551	1664
249	554	1663
250	556	1661
251	558	1659
252	561	1656
253	563	1653
254	566	1656
255	568	1653
256	572	1653
257	574	1650
258	576	1648
259	577	1644
260	579	1641
261	581	1638
262	583	1635
263	585	1632
264	587	1629
265	589	1626
266	591	1622
267	592	1619
268	594	1616
269	596	1612
270	598	1609
271	601	1609
272	603	1607
273	605	1604
274	607	1601
275	609	1598
276	611	1595
277	613	1592
278	615	1590
279	617	1587
280	619	1585
281	622	1583
282	624	1581
283	625	1577
284	629	1579
285	631	1576
286	633	1573
287	635	1571
288	637	1567
289	639	1564
290	641	1563
291	643	1560
292	645	1556
293	646	1553
294	648	1550
295	651	1548
296	653	1546
297	655	1543
298	656	1540
299	659	1537
300	661	1535
301	662	1532
302	664	1529
303	666	1526
304	669	1524
305	671	1522
306	674	1521
307	675	1518
308	677	1515
309	679	1513
310	681	1510
311	683	1507
312	685	1503
313	687	1501
314	689	1498
315	691	1495
316	692	1492
317	694	1489
318	697	1489
319	699	1487
320	702	1485
321	703	1482
322	706	1481
323	710	1482
324	712	1479
325	714	1476
326	716	1474
327	719	1475
328	722	1474
329	725	1472
330	727	1470
331	729	1467
332	731	1465
333	733	1462
334	735	1459
335	738	1459
336	740	1456
337	742	1453
338	744	1451
339	746	1449
340	748	1446
341	750	1444
342	752	1442
343	754	1439
344	757	1438
345	760	1436
346	762	1434
347	764	1433
348	767	1430
349	768	1428
350	770	1425
351	772	1422
