Borrower_ID,Age,Monthly_Income,Loan_Amount,Loan_Term_Months,Interest_Rate,Credit_Score,Days_Past_Due,Missed_Payments,Employment_Status,Loan_Purpose,Education_Level,Marital_Status,Num_Dependents,Residence_Type,Years_At_Current_Address,Outstanding_Balance,Collateral_Value,Debt_to_Income_Ratio,Collection_Attempts,Previous_Defaults,Recovery_Status,Estimated_EMI,Loan_to_Income_Ratio,EMI_to_Income_Ratio,Debt_Burden_Score,Collateral_Coverage_Ratio,Recovery_Efficiency_Ratio,Risk_Exposure_Score,Missed_Payment_Severity,Delinquency_Score,Recovery_Difficulty_Index,Collection_Intensity_Score,Behavioral_Risk_Score
BOR0000,60,6611,47563,60,3.893159308300319,510,244,20,Unemployed,Debt Consolidation,High School,Divorced,0,Rented,13.061889701992545,28324,7610,0.3898920602053689,6,3,1,873.6536776830886,0.5995436898099128,0.1321515168178927,0.2739088156810046,0.26866725507502204,1.4645000122708869,17.040971705169106,1.8337527368482425,0.895,0.95275,0.021897810218978103,1.0
BOR0001,50,13279,12561,12,14.84696927410736,400,29,13,Retired,Home Improvement,High School,Married,4,Mortgage,28.593603431824132,24624,15791,0.5885050767465011,3,2,1,1132.8278217005268,0.07882747194818887,0.08530972375182821,0.3620671678988983,0.6412588832487309,2.5278793665100725,16.257879900317004,3.6846304968006685,0.5305555555555556,0.6449556737588653,0.05084745762711865,0.6816666666666666
BOR0002,36,4839,13258,36,4.914164298090707,431,121,4,Employed,Home Improvement,Master's,Married,2,Owned,21.577356017274955,38176,58047,0.2877752512456175,12,0,0,396.8434144696223,0.22831852311083556,0.08200938509394964,0.19518061147736698,1.5204704403174687,0.8115375783863309,11.068432288276764,0.533780116081473,0.5706111111111112,0.3718659592061742,0.07947019867549669,0.36833333333333335
BOR0003,64,10527,21616,24,6.158005492917936,680,124,5,Unemployed,Home Improvement,High School,Divorced,4,Mortgage,27.9049560858765,20245,67906,0.799535395988453,12,2,2,959.5740375770725,0.1711155441562965,0.09115360858526385,0.48076359165701793,3.3540452435048898,0.7627471170891306,14.736851701509256,1.005898695271313,0.47944444444444445,0.4012557897811222,0.07792207792207792,0.5483333333333333
BOR0004,29,7878,31734,36,4.09451362827756,431,36,5,Employed,Medical,PhD,Widowed,2,Mortgage,15.82763919816497,23790,19665,0.222733968963802,5,1,1,938.2489483729478,0.3356816450875857,0.11909735318265395,0.17609749186228538,0.8265730738514564,1.679510439480307,12.587603207854842,0.5015163767561422,0.35950000000000004,0.4401395208312146,0.07575757575757576,0.33499999999999996
BOR0005,42,14784,11371,60,10.860034118624508,319,169,21,Unemployed,Education,Master's,Divorced,3,Owned,7.767128243794188,26756,70246,0.107080102162585,13,0,1,246.44011222366194,0.06409519300144301,0.016669379885258517,0.06639527713778809,2.625331688903838,0.7281822428810226,11.301683160651336,1.7975294529675916,0.9599444444444444,0.4986298037638618,0.06532663316582915,0.7816666666666667
BOR0006,60,11087,31069,24,6.08406353518582,835,123,17,Self-Employed,Home Improvement,High School,Single,1,Owned,1.5848005909416596,2833,65864,0.2041661001627232,3,3,0,1378.1741933600345,0.2335242476173296,0.12430542016415932,0.16822879416336947,23.240649258997884,1.9873611050626565,13.492949871156734,3.414366108970235,0.6416666666666666,0.4962771388446064,0.0196078431372549,0.905
BOR0007,40,8303,19369,48,5.57012003093632,526,356,13,Unemployed,Home Improvement,Bachelor's,Single,3,Rented,21.782545544515514,5285,46451,0.6431106026808887,9,2,1,451.0738903037453,0.19439760729053757,0.05432661571766172,0.37815780854743664,8.787552024214907,0.8572817095164235,12.670466616356512,1.5918867742319855,0.887,0.5523936708860759,0.023316062176165803,0.9333333333333333
BOR0008,44,13738,17910,36,4.518389218567276,453,34,9,Retired,Debt Consolidation,High School,Single,2,Rented,3.639089940166024,9589,45890,0.4127485735557481,14,2,0,532.914620942157,0.10864026787014121,0.038791281186647035,0.24446779198965266,4.7851929092805,0.6112317445251656,13.41584104917528,0.8888370153723534,0.4429444444444444,0.36922487143448607,0.21875,0.565
BOR0009,32,2851,12943,24,4.6880530069261805,768,86,13,Retired,Debt Consolidation,High School,Divorced,2,Mortgage,9.083253848159016,14116,6794,0.4132501734672998,6,0,0,566.0209445390677,0.3783175493978721,0.19853417907368212,0.31662797599017184,0.48126372458737693,1.3650192891263142,10.00308481868726,2.4190335642712326,0.5388888888888889,0.5925,0.05172413793103448,0.6433333333333333
BOR0010,32,3687,17199,36,10.223713055089773,704,133,12,Employed,Education,High School,Divorced,2,Rented,15.97412723651692,7645,32888,0.768516043728168,0,0,1,556.7715515035093,0.38873067534580963,0.15100937116992386,0.4906380410769582,4.301334030865812,8.941937914256359,9.85613598817421,1.6326132666503037,0.6694444444444445,0.3419284943294111,0.0,0.7216666666666667
BOR0011,45,12123,20728,24,11.414390457465847,501,195,2,Unemployed,Education,Master's,Divorced,0,Rented,16.93249763339243,29150,6749,0.743744435619652,2,3,1,970.0799872663064,0.14248398361241718,0.08001979602955592,0.44506834780410875,0.23151864430036706,3.4267481655025165,18.325874789313705,0.4398428882692098,0.6495000000000001,0.8422750000000001,0.008888888888888889,0.5833333333333333
BOR0012,57,8833,28275,12,8.069858367340611,337,273,5,Employed,Business,PhD,Single,1,Owned,18.01749590961408,10889,46531,0.3178363164628064,12,3,1,2460.511212145262,0.26675534925846256,0.278558950769304,0.3001615019007303,4.272819100091827,0.7150461704559236,16.073187180394438,2.338803377661696,0.8065,0.6038769255566062,0.039603960396039604,0.7083333333333333
BOR0013,61,13938,11738,36,9.018816438308844,487,200,7,Employed,Debt Consolidation,Bachelor's,Widowed,3,Owned,4.987659910491019,30286,20608,0.2463406901466063,2,1,0,373.3680649490322,0.07017984407136366,0.026787779089469953,0.14754188017089495,0.680423944266517,3.4394912855093094,13.498893687459683,1.0311981765670426,0.7815000000000001,0.6755132907144128,0.008695652173913044,0.6583333333333333
BOR0014,45,4427,20913,48,11.388628963804315,356,284,11,Self-Employed,Business,High School,Married,3,Rented,11.392122144649464,37545,69211,0.6939375469536179,0,3,1,544.4628055499742,0.3936638807318726,0.12298685465325823,0.43700973541845606,1.8433654716880628,10.533322126884308,18.772676962363942,1.2953621038115657,0.947,0.7210811535571866,0.0,0.9583333333333333
BOR0015,24,11760,40240,48,3.699867587133016,319,76,12,Self-Employed,Medical,PhD,Divorced,4,Owned,18.515826813509,15994,56017,0.7342133497310542,5,2,0,903.1867196161165,0.28514739229024944,0.07680159180409155,0.43837805866392104,3.502156924038762,1.6133385753972698,14.053451717920495,1.085951355463421,0.7016111111111111,0.4990235230937674,0.04716981132075472,0.76
BOR0016,43,6000,24123,60,7.2160025563082035,572,58,10,Retired,Business,PhD,Widowed,2,Rented,29.094565939013545,35503,57676,0.4791178459589409,14,1,2,480.1265212390958,0.3350416666666667,0.08002108687318263,0.2995243043703497,1.6244930148715637,0.698493376344825,13.4801401722752,0.6795895739842865,0.4751111111111111,0.38818768197606207,0.1590909090909091,0.58
BOR0017,23,7052,39529,24,14.690624102808984,418,125,11,Employed,Home Improvement,Master's,Married,2,Owned,21.82893413099066,24662,11560,0.5405965977819704,12,1,1,1910.8234855173741,0.467113348459066,0.2709619236411478,0.41926099441860026,0.46871832299395855,0.7779276479861725,13.91847716288085,2.2166292073527605,0.7632222222222222,0.7601166666666667,0.07741935483870968,0.7333333333333333
BOR0018,45,4738,15167,36,10.171290641497883,815,108,0,Retired,Business,Bachelor's,Married,2,Owned,27.67811271281873,39136,54401,0.2798399992846054,10,1,1,490.6170645845014,0.2667616434501196,0.10354940155856932,0.20050923030788917,1.3900145642231136,0.9613475990983599,13.98050355870585,0.0,0.3,0.3275590970920187,0.07246376811594203,0.24666666666666665
BOR0019,65,13690,15554,60,6.423582668821172,520,223,16,Unemployed,Education,Master's,Married,3,Owned,22.866361749425312,26639,50468,0.6605618815849672,13,0,0,303.77544298183955,0.09467981495008522,0.022189586777344013,0.3732943489215368,1.8944444444444444,0.7278692231895947,10.844743062469187,1.4431056138280105,0.89,0.4928700687550774,0.05138339920948617,0.8
BOR0020,51,7732,22260,36,9.499895536316451,825,277,15,Employed,Medical,PhD,Widowed,4,Owned,17.751509066772012,17205,32463,0.5424856999143163,8,3,0,713.0523742283093,0.23991205380237973,0.09222094855513571,0.33986656180268504,1.886725560850866,1.0836681599090325,17.087263244074276,2.344842130704432,0.8,0.6527450406604238,0.026058631921824105,1.0
BOR0021,59,7387,8812,24,7.440515113390527,814,67,10,Employed,Home Improvement,PhD,Widowed,0,Rented,5.760701074090337,32930,31663,0.4524594579085976,7,1,2,396.2981015770814,0.09940887144081946,0.05364804407433077,0.27299432168317755,0.9614952476390027,1.3002712177944282,13.411373704987101,1.7581282104900444,0.4361111111111111,0.4449135716691932,0.07216494845360824,0.595
BOR0022,23,10002,33024,48,9.62081737150244,635,68,12,Unemployed,Business,PhD,Single,1,Mortgage,20.000569556775392,7777,68706,0.142075989254877,10,0,0,831.5731010438516,0.2751449710057988,0.08314068196799156,0.11555510097577855,8.833376189251736,0.8144595013377902,9.820988787789833,1.058526626149315,0.5213888888888889,0.25443338924709274,0.10204081632653061,0.6133333333333333
BOR0023,42,7536,32285,12,4.946027385776461,354,164,17,Unemployed,Medical,Master's,Widowed,0,Owned,18.701386978797213,28315,58773,0.7411544737578076,6,0,1,2763.039087912502,0.35700858103326255,0.36664531421344243,0.5726253519628433,2.0756109620002827,1.4644546135562972,10.758208578565409,7.233422754692488,0.9285555555555556,0.5021581124306667,0.030927835051546393,0.7733333333333333
BOR0024,54,5913,31900,48,5.02621851892169,799,304,10,Retired,Medical,Bachelor's,Widowed,3,Rented,18.074075113717992,26973,33123,0.5308159942690843,9,1,1,735.0133925882741,0.4495743841253735,0.12430464951602808,0.347885889130209,1.2279602580262474,1.0202628718076803,12.85852215854592,1.191731620126544,0.75,0.5466698365736827,0.02694610778443114,0.7833333333333333
BOR0025,33,3066,6605,60,5.150737163453018,835,161,11,Retired,Home Improvement,High School,Widowed,2,Rented,14.693576039647224,18316,9718,0.2348837662850776,7,1,0,125.10114947752096,0.17952272233094152,0.04080272324772373,0.14754729691826837,0.5305453949882623,1.2269481086700271,12.385391816443951,0.9327259947926037,0.7222222222222222,0.7214639709160751,0.03664921465968586,0.7933333333333332
BOR0026,43,9723,10622,12,14.30792760715868,461,364,5,Unemployed,Business,Master's,Married,1,Owned,15.859698119678267,27304,62637,0.524470281888137,5,2,2,955.258420169778,0.0910384312112174,0.098247292005531,0.3326699364409644,2.2939754623695294,1.7024708524310423,16.34689685605077,2.458290563992705,0.7445,0.5446411009823643,0.012690355329949238,0.6416666666666666
BOR0027,65,6380,11767,60,11.928337560925431,458,341,8,Retired,Medical,PhD,Divorced,3,Mortgage,10.033275813543122,36303,28,0.5742243479679814,8,1,1,261.3244925301122,0.15369644723092998,0.04095995180722762,0.33425536969564223,0.0007712648743940062,1.166631467446625,14.102545035336872,0.7779747649416806,0.821,0.7861166666666666,0.0215633423180593,0.7
BOR0028,46,12636,32139,24,5.36739178861669,487,308,15,Unemployed,Medical,Master's,Single,3,Owned,15.579380779269096,30522,62370,0.4680392356782579,2,2,0,1415.2765389753167,0.21195394112060778,0.11200352476854358,0.30782316576888646,2.043377125446385,3.4420785922556174,15.232679431091128,3.5833382980610913,0.9065000000000001,0.6268966909033579,0.005917159763313609,0.9333333333333333
BOR0029,48,6107,16613,12,5.666014463304417,359,342,3,Employed,Debt Consolidation,PhD,Divorced,3,Rented,5.926677170354347,22340,47599,0.6026712165692157,14,1,0,1427.2725933623692,0.22669341193166312,0.23371092080602082,0.43663908347577807,2.13056711875028,0.667611922291917,12.69790038661899,1.4594326117914853,0.7454999999999999,0.4842740196078431,0.03763440860215054,0.49166666666666664
BOR0030,63,7726,15589,60,11.904538961015078,618,41,2,Employed,Medical,High School,Divorced,1,Mortgage,24.155231920811303,19830,17397,0.507017763550037,9,1,0,346.01715689098035,0.1681443610320131,0.044786067420525544,0.2990135002917569,0.8772628712621653,0.989500164888583,13.287547170444633,0.12458898727611228,0.2048888888888889,0.3583292485726328,0.1267605633802817,0.21833333333333332
BOR0031,49,5373,18918,24,5.29588421511,510,353,15,Self-Employed,Debt Consolidation,High School,Widowed,1,Rented,5.573308640961234,13403,45406,0.7634387074225037,9,3,2,832.4680584543163,0.2934115019542155,0.15493542870915994,0.48961223200149906,3.387496269770218,0.9503308448857201,16.01054825746151,3.6683105707086088,0.895,0.6544055817384984,0.02349869451697128,1.0
BOR0032,37,14161,25119,48,6.19745487335053,705,108,23,Employed,Business,Bachelor's,Single,4,Owned,2.5489886966839927,14516,47657,0.1375879550195148,8,1,1,592.1971205387042,0.14781795070969564,0.04181887723597939,0.09449187001692387,3.282840807329338,1.0647861839401587,12.212378933625228,2.2479375269014645,0.6,0.3899693650593814,0.057971014492753624,0.7466666666666666
BOR0033,36,12738,32446,24,14.57848857743459,408,50,11,Unemployed,Business,PhD,Divorced,4,Mortgage,13.087380790714722,19091,67560,0.1743719959286923,3,1,0,1566.7077213431403,0.21226513843094155,0.12299479677682056,0.15125225631035003,3.5386549340037714,2.464256169531447,13.552835873881515,1.8020867483319825,0.5598888888888889,0.36806716325493505,0.0375,0.6083333333333333
BOR0034,68,10945,18046,36,6.436025034376966,375,249,10,Retired,Business,Bachelor's,Divorced,0,Rented,19.74922318518185,7959,13503,0.2215701458680379,6,2,0,552.5665793723584,0.13739911679610173,0.050485754168328775,0.1445821696031688,1.696356783919598,1.283169182691204,13.384391870721677,1.5337391438506238,0.9125,0.6470999950631912,0.021505376344086023,0.85
