Borrower_ID,Age,Monthly_Income,Loan_Amount,Loan_Term_Months,Interest_Rate,Credit_Score,Days_Past_Due,Missed_Payments,Employment_Status,Loan_Purpose,Education_Level,Marital_Status,Num_Dependents,Residence_Type,Years_At_Current_Address,Outstanding_Balance,Collateral_Value,Debt_to_Income_Ratio,Collection_Attempts,Previous_Defaults,Recovery_Status,Estimated_EMI,Loan_to_Income_Ratio,EMI_to_Income_Ratio,Debt_Burden_Score,Collateral_Coverage_Ratio,Recovery_Efficiency_Ratio,Risk_Exposure_Score,Missed_Payment_Severity,Delinquency_Score,Recovery_Difficulty_Index,Collection_Intensity_Score,Behavioral_Risk_Score,segment,segment_name,prob_fully_recovered,prob_partially_recovered,prob_written_off,recovery_probability,risk_score,expected_recovery_value,risk_tier,recommended_strategy,priority_score,priority_rank
BOR0000,60,6611,47563,60,3.893159308300319,510,244,20,Unemployed,Debt Consolidation,High School,Divorced,0,Rented,13.061889701992545,28324,7610,0.3898920602053689,6,3,1,873.6536776830886,0.5995436898099128,0.1321515168178927,0.2739088156810046,0.26866725507502204,1.4645000122708869,17.040971705169106,1.8337527368482425,0.895,0.95275,0.021897810218978103,1.0,0,Legal Escalation Candidate Segment,0.40698756134730335,0.3846795331567931,0.20833290549590355,0.6377952812413792,0.5644330671931036,18064.913545880823,Very High,Legal notice preparation and debt recovery escalation,13.653158042513184,1
BOR0124,56,6729,14510,36,9.508531965935362,327,322,12,Retired,Education,Bachelor's,Married,2,Rented,26.39513243824404,27370,14591,0.2537774933630784,4,3,0,464.8559732782691,0.17969485312329717,0.06908247485187534,0.17066473503303706,0.5330824595374667,2.043447867544192,17.901998089894846,1.9258841077408855,0.9865,0.9721699287280701,0.011363636363636364,1.0,0,Legal Escalation Candidate Segment,0.4253554143190561,0.40251316682199717,0.1721314188589464,0.6668633144122544,0.5638388456320347,18252.048915463405,Very High,Legal notice preparation and debt recovery escalation,13.31708586122431,2
BOR0471,49,3646,26520,24,13.587092077381143,492,338,12,Self-Employed,Medical,PhD,Single,3,Mortgage,17.04805848806305,34550,16448,0.7550244830671853,4,2,1,1268.1346983432547,0.6061437191442677,0.3478153314161423,0.571780364824216,0.47604989725333563,2.0900383544674037,16.618096530990297,2.9130000536902245,0.904,0.8901333333333332,0.010869565217391304,0.9333333333333333,0,Legal Escalation Candidate Segment,0.413789374342628,0.39014400937351784,0.19606661628385413,0.6478757799667387,0.5496807430216198,22384.108197850823,Very High,Legal notice preparation and debt recovery escalation,12.986215122433958,3
BOR0129,56,6330,12804,60,6.895700326033566,793,207,10,Unemployed,Debt Consolidation,PhD,Married,0,Rented,9.290751333155674,28477,10929,0.6276377414315367,7,3,0,252.90495067478,0.16856240126382308,0.03995338873219273,0.36317978271683193,0.3837699276634595,1.2821108922926174,17.542674141088657,0.8895896799502196,0.75,0.8875,0.029535864978902954,0.9166666666666667,0,Legal Escalation Candidate Segment,0.40383944758103235,0.3662406298678711,0.22991992255109664,0.623583825501755,0.5321705134238592,17757.796598813475,High,Intensive collections with senior agent intervention,12.671562818005754,4
BOR0459,60,2055,39020,12,14.59899203446046,340,287,18,Unemployed,Debt Consolidation,PhD,Married,1,Rented,24.348810433345605,26287,55568,0.6726729178252239,14,2,2,3514.500073137498,1.5823195458231956,1.710219013692213,1.139568660965369,2.113816189896531,0.67845785601847,16.32762315189133,8.494440720203919,0.9800000000000001,0.6571173496013964,0.04416403785488959,0.9333333333333333,0,Legal Escalation Candidate Segment,0.3814953655087253,0.3654459118657618,0.25305872262551277,0.6007629126281824,0.5955041067916815,15792.25468425703,Very High,Legal notice preparation and debt recovery escalation,12.584141234949012,5
BOR0202,60,2133,15457,24,8.75387441612424,461,357,21,Employed,Debt Consolidation,Bachelor's,Widowed,3,Rented,10.64391868969166,38784,4532,0.6205217622924324,14,0,2,704.4048297088508,0.6038834192842631,0.33024136413917055,0.4898955831234646,0.11684929740879206,0.7043859235283315,11.490704740182878,5.145466363100613,0.9195000000000001,0.7637750000000001,0.03617571059431524,0.8,0,Legal Escalation Candidate Segment,0.4056137605288183,0.36541630501842215,0.22896993445275948,0.6248635435398716,0.5477386966990835,24234.70767265038,Very High,Legal notice preparation and debt recovery escalation,12.544685924617927,6
BOR0098,45,2717,13567,24,9.818263741950211,369,215,22,Self-Employed,Education,High School,Single,4,Rented,8.45755066791755,16885,453,0.2008022567438755,14,2,0,624.910824632773,0.4161145871672187,0.2300003035085657,0.2139413777879861,0.026826957242686248,0.648949343681963,14.965962937722571,4.927338540377152,0.9655,0.9178083333333333,0.05714285714285714,0.9333333333333333,0,Legal Escalation Candidate Segment,0.42622579996209575,0.37530004668671585,0.19847415335118848,0.6514058279741253,0.5596862118168185,10998.987405343105,Very High,Legal notice preparation and debt recovery escalation,12.522197186092122,7
BOR0415,63,5266,25609,48,13.801867869776643,340,133,16,Unemployed,Medical,PhD,Married,1,Rented,6.329096718598512,21304,16619,0.5212784440431335,7,2,0,697.2611380676547,0.40525699455627295,0.13240811585029522,0.3462867963563563,0.7800516310725182,1.2458371332417515,15.879202396337181,1.6326132666503037,0.8494444444444446,0.7399034296028881,0.04294478527607362,0.855,0,Legal Escalation Candidate Segment,0.3863865091534215,0.3392144139486403,0.2743990768979386,0.5899151575226057,0.5646940364991953,12567.552515861591,Very High,Legal notice preparation and debt recovery escalation,12.479438696794661,8
BOR0037,58,13088,9324,36,7.804412822107616,416,299,18,Unemployed,Medical,Master's,Divorced,1,Owned,16.745135516713223,36701,25345,0.7244412021467859,8,1,1,291.3397147113595,0.05936735941320293,0.022260063776845924,0.4084596898803129,0.6905618222440194,1.1678429476078467,13.597051309412755,2.8518912373281005,0.9420000000000001,0.7439666114311265,0.0243161094224924,0.8666666666666667,0,Legal Escalation Candidate Segment,0.3967277994374141,0.388843163023093,0.2144290375394929,0.6300336972512699,0.5588780967866745,23122.866722818857,Very High,Legal notice preparation and debt recovery escalation,12.440973073247244,9
BOR0297,50,10175,43258,60,10.429361384192948,585,217,16,Employed,Business,PhD,Single,0,Rented,4.284429134186021,35310,17806,0.1633474177671067,4,2,1,928.2701365486006,0.3542833742833743,0.09123048025047671,0.13089479588462322,0.5042621279487979,2.0943899618220962,16.18975021814348,1.4358653500770904,0.8575,0.8662207441829992,0.016194331983805668,0.9333333333333333,0,Legal Escalation Candidate Segment,0.42200775371566507,0.39077173570180357,0.18722051058253125,0.6564707951367472,0.5347939831611144,23179.983776278543,High,Intensive collections with senior agent intervention,12.408190943352118,10
