lot_frontage,lot_area,overall_qual,overall_cond,year_built,year_remod_add,mas_vnr_area,bsmt_fin_sf_1,bsmt_fin_sf_2,bsmt_unf_sf,total_bsmt_sf,first_flr_sf,second_flr_sf,low_qual_fin_sf,gr_liv_area,bsmt_full_bath,bsmt_half_bath,full_bath,half_bath,bedroom_abv_gr,kitchen_abv_gr,tot_rms_abv_grd,fireplaces,garage_yr_blt,garage_cars,garage_area,wood_deck_sf,open_porch_sf,enclosed_porch,three_ssn_porch,screen_porch,pool_area,misc_val,mo_sold,yr_sold,ms_subclass,ms_zoning,street,lot_shape,land_contour,utilities,lot_config,land_slope,neighborhood,condition_1,bldg_type,house_style,roof_style,exterior_1st,exterior_2nd,exter_qual,exter_cond,foundation,bsmt_qual,bsmt_cond,bsmt_exposure,bsmt_fin_type_1,bsmt_fin_type_2,heating,heating_qc,central_air,electrical,kitchen_qual,functional,fireplace_qu,garage_type,garage_finish,garage_qual,garage_cond,paved_drive,sale_type,sale_condition,sale_price
48,24124,4,8,1986,1996,75.6910555454399,506.5616119494227,169.69495826690286,326.29529869776405,1002.5518689140897,1544.654712746269,467.3396212197938,69.08283769316151,1919.2247710142337,1,0,3,1,5,1,7,1,1984,2,560.4568117923715,167.24926221983714,38.14609959290646,1.9224282874875074,7.516241481837501,90.87734901432219,17.019059646568017,62.75008307516327,10,2007,50,RH,Grvl,IR1,Lvl,NoSeWa,CulDSac,Mod,CollgCr,Feedr,1Fam,1.5Fin,Flat,MetalSd,MetalSd,Gd,Fa,PConc,TA,Ex,No,Unf,Rec,GasA,TA,Y,SBrkr,Gd,Typ,Ex,BuiltIn,Fin,Ex,Fa,P,WD,Abnorml,563032.15
117,10751,8,2,2010,2010,39.06407686342317,317.42754342571857,38.521922655677095,255.8376274363734,611.7870935177691,1710.4810392800068,1817.391009721414,6.497623250751524,3641.350753289807,2,0,1,0,5,2,3,1,2008,0,161.89932089665544,91.97600422559339,53.432267833332034,12.15003279589302,59.552794152460464,6.172090619548544,38.31555527209544,274.76675668914896,2,2007,60,RL,Grvl,IR2,Lvl,NoSeWa,FR2,Sev,Somerst,Norm,Duplex,1.5Fin,Flat,Wd Sdng,VinylSd,Gd,Gd,PConc,Fa,TA,Av,LwQ,Unf,GasA,TA,N,FuseF,Gd,Typ,Ex,CarPort,Unf,Ex,Ex,N,WD,Normal,745345.5
105,3330,2,4,1961,2007,62.52398758515453,147.6735757637453,8.084949708198492,109.58921120487135,265.34773667681515,773.0076085443618,897.394662529134,1.952075467378899,1264.2723341213252,1,1,1,1,5,2,3,0,1982,2,337.686381179403,52.86903982778831,24.31991075929997,33.21815199420026,26.43922155114149,32.5952053040478,25.534987943806026,329.253412157012,11,2008,120,RM,Grvl,IR2,HLS,AllPub,FR2,Gtl,Edwards,Norm,TwnhsE,2Story,Hip,VinylSd,Wd Sdng,Fa,Ex,CBlock,TA,Ex,No,ALQ,Unf,GasA,Gd,Y,SBrkr,TA,Typ,Fa,Detchd,Fin,Po,Fa,N,ConLD,Normal,385439.82
83,3426,6,5,1900,1962,271.9818605472397,515.1301108350068,28.353790812704858,540.0970283839289,1083.5809300316405,610.9334642810774,639.5152683171013,132.96321508001506,2182.8597612257154,0,0,2,1,4,1,12,1,1936,1,505.2254689298526,65.8517959345776,89.33588300339531,36.852661636460304,7.8670113337678576,5.773060826867924,33.049850089091514,70.75453393562739,11,2007,75,RM,Grvl,IR1,Bnk,AllPub,FR2,Gtl,OldTown,Norm,Duplex,2Story,Hip,Wd Sdng,MetalSd,Gd,Gd,Slab,TA,Gd,Gd,LwQ,Unf,GasA,TA,N,FuseF,Ex,Typ,Gd,Detchd,Unf,Po,Gd,N,COD,Normal,575709.51
83,25855,5,4,1996,2005,51.36133367663317,309.3515870263941,66.57899044065826,327.63602578253386,703.5666032495863,521.5814591552681,381.77551136974125,92.88357661113372,1329.931683591077,0,1,3,0,3,1,11,0,1994,3,197.56726727270012,33.6505723855671,31.808795940994752,41.25843143098527,126.34837501667997,67.02443411640652,135.3855887664303,195.02214424665272,7,2009,120,FV,Grvl,Reg,HLS,AllPub,Corner,Mod,OldTown,Feedr,TwnhsE,2Story,Hip,VinylSd,MetalSd,TA,Ex,BrkTil,Ex,Ex,Mn,Unf,ALQ,GasA,Fa,N,FuseF,Ex,Typ,Fa,BuiltIn,RFn,Fa,Ex,N,New,Abnorml,491095.45
125,5124,3,7,1917,1968,124.30355717965139,106.7833384432811,58.34170514712758,436.05274365572905,601.1777872461378,1372.3143838052154,1361.109967305661,26.61323020396143,2255.656389035125,1,0,2,1,2,2,3,0,1977,3,449.1878540901047,43.21052353640866,4.331586600031861,43.794971065731886,25.775038516586235,52.03858142058791,60.884551833005474,122.50794934441575,2,2006,20,FV,Grvl,IR2,HLS,AllPub,CulDSac,Gtl,NAmes,Norm,Duplex,1.5Fin,Flat,Wd Sdng,Wd Sdng,Ex,TA,Slab,Fa,Ex,Mn,GLQ,GLQ,Grav,Ex,Y,SBrkr,Gd,Typ,TA,Attchd,RFn,TA,Po,Y,ConLD,Partial,533418.39
48,19795,6,3,1913,1982,19.17617440769835,213.43587613890816,77.24075412674445,111.1679752638577,401.8446055295103,1103.441145692893,412.15899654050656,34.597530604565186,655.1075236830237,0,0,1,0,5,1,7,1,1992,3,213.50212974023628,8.38843100964281,41.770236502273484,71.48828179886823,150.19630567073278,63.531350565796814,33.01286650437089,117.68916069974999,9,2007,160,RM,Grvl,Reg,HLS,AllPub,FR2,Gtl,NAmes,Feedr,1Fam,1Story,Hip,VinylSd,MetalSd,Ex,Fa,BrkTil,TA,Fa,No,ALQ,Unf,Grav,Fa,N,SBrkr,TA,Maj1,Fa,Detchd,Unf,Gd,Po,Y,WD,Abnorml,492210.94
109,12766,4,2,1974,1974,216.0667684696723,70.83951816972532,36.046343658691,321.25156502313047,428.1374268515468,1314.8411300373475,253.72469510342145,195.53788294364227,1141.493854960425,0,1,2,1,3,1,12,2,1978,1,127.20307071318803,152.202221258074,92.69900602620284,108.18621685659438,5.918037441455377,13.018169110274327,39.4036469185112,474.2435320456012,9,2008,160,RM,Grvl,IR2,HLS,NoSeWa,CulDSac,Sev,Somerst,Norm,Duplex,2Story,Flat,Wd Sdng,Wd Sdng,Gd,TA,CBlock,TA,Ex,Mn,LwQ,GLQ,GasW,Gd,Y,FuseA,TA,Min2,Po,Detchd,RFn,Po,Fa,Y,New,Family,468737.44
60,23770,3,4,1967,1996,127.57127263213785,221.7012024486056,3.518481954326505,382.59511278833037,607.8147971912625,460.09075237490754,483.0334778752341,51.1477382975486,1944.1227754457655,0,0,3,0,2,1,10,2,1965,2,541.4518745948913,59.6207826637346,96.6516870303952,52.527531581308615,3.790195274990174,7.857240037166163,0.3799845932538974,14.860202300812459,2,2006,160,RH,Pave,Reg,Lvl,AllPub,Corner,Gtl,Somerst,Feedr,Duplex,1Story,Hip,VinylSd,VinylSd,Ex,Fa,Slab,TA,Fa,No,BLQ,Rec,Grav,Ex,Y,FuseA,TA,Min2,Ex,Detchd,Unf,Gd,Fa,N,WD,Normal,489432.21
49,3694,7,6,1906,1969,52.36048313763382,329.8431462742567,51.0965807400641,248.8465786405542,629.786305654875,678.5095973383525,560.0821753895342,47.0395334016384,2084.4322828007635,1,0,1,0,5,1,3,2,1949,2,616.2459965345879,176.95376527463247,138.5705772823353,31.941420925258722,19.99362059908639,61.172046439532984,303.6166292978437,461.2184516553151,10,2008,30,RH,Pave,IR2,Lvl,AllPub,Corner,Sev,Edwards,Feedr,Duplex,1Story,Gable,VinylSd,VinylSd,Gd,Gd,CBlock,TA,Fa,No,Unf,GLQ,GasA,Fa,N,FuseF,Gd,Min2,Gd,BuiltIn,Unf,Ex,Gd,P,COD,Family,589933.27
92,27138,3,3,1918,2003,78.94294121753775,285.0246868327036,13.676085838461729,91.3768115420324,390.0775842131977,1833.3029869015795,952.3134215909112,24.42138713984573,2564.363366491634,0,1,2,1,2,2,7,0,1940,1,277.993660376975,364.0642308164522,266.37641135144844,10.79090218397619,2.480612562138098,19.757383574544555,115.21171570509088,298.83878042339296,9,2006,75,RH,Pave,IR2,Lvl,NoSeWa,FR2,Gtl,CollgCr,Feedr,TwnhsE,1Story,Hip,VinylSd,MetalSd,Gd,Fa,CBlock,Gd,TA,Mn,Unf,Unf,GasW,Ex,Y,SBrkr,Ex,Min2,Po,Detchd,Fin,Ex,TA,N,ConLD,Abnorml,519057.59
137,21549,7,7,1965,1965,193.60407871271806,259.4711536652498,74.16928735481905,232.64979345534275,566.2902344754116,1212.1133397009128,248.4430003723899,42.878422548230915,748.2766820912973,1,0,3,0,1,2,11,0,1963,1,441.56062151352813,24.668460079716027,64.4867391779916,35.30865917252778,13.932693335678003,20.03387827615515,23.532402146628794,184.7316020804552,1,2010,80,RM,Grvl,Reg,Bnk,NoSeWa,Corner,Sev,Somerst,Feedr,Duplex,2Story,Flat,HdBoard,Plywood,Ex,Gd,PConc,Fa,Fa,Gd,BLQ,ALQ,Grav,Ex,Y,SBrkr,TA,Typ,Fa,Detchd,Unf,TA,Ex,P,WD,Partial,550427.89
113,14579,3,2,1928,1980,55.59082838746098,327.3075707100328,109.44546402330361,358.69561828845747,795.4486530217939,1167.0620239960228,290.9022679549047,50.90272312317755,1898.3142150664526,2,0,1,0,4,2,5,2,1983,2,354.9065232760679,129.11616707565983,55.347132094137876,50.8280396717175,37.099236565554115,12.757878447222287,2.0508309194733085,267.85078349568045,8,2006,50,RL,Pave,IR2,Lvl,AllPub,Corner,Gtl,OldTown,Norm,Duplex,1Story,Hip,Wd Sdng,Wd Sdng,Fa,TA,CBlock,Ex,Fa,Gd,Unf,Unf,Grav,TA,N,FuseA,TA,Maj1,Ex,Detchd,Fin,Fa,Ex,N,ConLD,Abnorml,406713.35
116,7796,5,2,1975,1975,91.68584666254159,443.62442623874284,50.075947317762555,455.7344239283955,949.4347974849009,933.1121188552956,304.4554038773949,31.589899388115157,521.6844756703654,1,1,1,0,3,2,8,0,2007,0,302.09000912407964,28.238814268498537,71.32973410776148,22.842006446240898,33.122877310708745,18.129643040979605,25.000477136760093,113.31031246181489,11,2008,160,FV,Pave,Reg,Lvl,NoSeWa,Inside,Sev,OldTown,Norm,1Fam,2Story,Flat,MetalSd,VinylSd,Gd,Fa,PConc,Gd,Gd,Mn,Unf,LwQ,GasA,Fa,N,FuseA,Gd,Typ,Po,CarPort,Fin,Fa,TA,Y,WD,Family,475835.18
111,29359,8,5,1945,2004,334.8343282716143,567.9650116265065,20.365402866116867,60.863622811908904,649.1940373045322,637.0851740813124,463.29923587317256,20.521431658292013,1378.3381325070789,2,1,3,0,4,1,6,1,1943,1,315.8868194827221,38.01168781419058,46.94640464860848,60.6290972179401,25.235268370741366,61.488592037872685,98.53425511701315,66.78502237175564,12,2007,20,RL,Grvl,IR1,Bnk,NoSeWa,CulDSac,Gtl,OldTown,Feedr,TwnhsE,1.5Fin,Flat,Wd Sdng,Wd Sdng,Ex,Ex,Slab,Ex,Gd,Mn,ALQ,GLQ,GasW,Gd,Y,SBrkr,Gd,Min1,Po,Detchd,RFn,Gd,Gd,Y,ConLD,Abnorml,609223.94
118,10458,3,5,1965,1975,5.271528819649498,620.8437111205297,80.9790207490587,245.36551902389022,947.1882508934787,2129.085197174185,198.06760999654105,32.16820185687434,1705.9739394544092,1,0,1,1,4,1,4,1,1963,2,202.8193612011951,71.17835158650969,21.70073817725389,43.064542781066606,8.071135429147981,11.210601658641925,88.51761708069274,39.26064810735262,11,2008,80,RL,Grvl,IR2,HLS,AllPub,FR2,Sev,Edwards,Feedr,Duplex,1.5Fin,Gable,Wd Sdng,Plywood,Gd,TA,BrkTil,Ex,TA,Gd,LwQ,Rec,Grav,TA,N,SBrkr,Fa,Min1,TA,Attchd,Unf,Po,TA,Y,WD,Normal,448117.28
91,15734,8,4,1952,1991,94.38271626342895,168.45506469639318,502.0758869483491,74.06872307787225,744.5996747226145,2337.481792145235,1209.6047026415408,30.568216930489523,1551.7636043189354,1,0,1,1,4,2,11,0,1998,3,687.8915156197078,323.11621462229766,19.980600401823807,13.364624847974552,49.51508396370091,10.881811006084282,37.64678864830493,307.27214419824435,11,2009,75,RH,Grvl,IR1,Lvl,AllPub,FR2,Gtl,Edwards,Norm,Duplex,1.5Fin,Flat,MetalSd,Wd Sdng,Fa,Gd,PConc,Gd,Fa,Gd,BLQ,GLQ,Grav,Fa,N,SBrkr,TA,Typ,TA,BuiltIn,RFn,Gd,TA,N,WD,Family,623511.83
