Date,App,Usage (minutes),Notifications,Times Opened,Synthetic
2024-08-01,8 Ball Pool,8.0,1,14,0
2024-08-01,8 Ball Pool,20.0,3,6,0
2024-08-01,8 Ball Pool,19.0,1,5,0
2024-08-01,LinkedIn,10.0,6,6,0
2024-08-01,Netflix,108.0,0,2,0
2024-08-01,Safari,8.0,1,3,0
2024-08-01,X,39.0,11,13,0
2024-08-01,X,41.0,9,14,0
2024-08-01,X,30.0,27,9,0
2024-08-01,X,17.0,41,19,0
2024-08-02,LinkedIn,13.0,4,1,0
2024-08-02,Safari,17.0,0,9,0
2024-08-03,8 Ball Pool,21.0,1,12,0
2024-08-03,8 Ball Pool,13.0,5,8,0
2024-08-03,8 Ball Pool,5.0,4,15,0
2024-08-03,8 Ball Pool,22.0,9,10,0
2024-08-03,Facebook,32.0,38,20,0
2024-08-03,LinkedIn,17.0,13,9,0
2024-08-03,Netflix,47.0,0,5,0
2024-08-03,Netflix,79.0,0,2,0
2024-08-03,Netflix,50.0,1,1,0
2024-08-03,WhatsApp,26.0,65,89,0
2024-08-03,X,26.0,44,7,0
2024-08-04,8 Ball Pool,10.0,8,4,0
2024-08-04,Instagram,118.0,69,28,0
2024-08-04,LinkedIn,7.0,4,4,0
2024-08-04,Netflix,24.0,0,1,0
2024-08-04,Safari,6.0,0,4,0
2024-08-05,Facebook,47.0,28,17,0
2024-08-05,LinkedIn,19.0,10,2,0
2024-08-05,Netflix,90.0,1,2,0
2024-08-05,Safari,3.0,1,3,0
2024-08-05,Safari,14.0,0,1,0
2024-08-05,WhatsApp,71.0,147,99,0
2024-08-06,LinkedIn,16.0,9,5,0
2024-08-06,WhatsApp,35.0,142,32,0
2024-08-06,X,22.0,31,13,0
2024-08-07,Facebook,55.0,22,49,0
2024-08-07,Facebook,12.0,54,22,0
2024-08-07,Instagram,81.0,24,57,0
2024-08-07,Netflix,110.0,1,5,0
2024-08-07,X,40.0,45,11,0
2024-08-07,X,31.0,36,8,0
2024-08-08,8 Ball Pool,11.0,3,1,0
2024-08-08,Instagram,90.0,30,53,0
2024-08-08,Instagram,33.0,11,20,0
2024-08-08,LinkedIn,8.0,11,8,0
2024-08-08,Safari,12.0,0,7,0
2024-08-08,Safari,20.0,0,2,0
2024-08-09,Facebook,16.0,37,23,0
2024-08-09,Instagram,58.0,24,59,0
2024-08-09,LinkedIn,8.0,12,6,0
